id,class,method,name,enabled,description
81,android.database.sqlite.SQLiteOpenHelper,SQLiteOpenHelper,,False,Not Found in API 25
82,android.graphics.drawable.NinePatchDrawable,NinePatchDrawable,,False,Not Found in API 25
83,android.graphics.NinePatch,isNinePatchChunk,,True,
84,android.hardware.Camera,open,,True,
85,android.hardware.Sensor,getName,,True,
86,android.hardware.Sensor,getVendor,,True,
87,android.hardware.Sensor,getVersion,,True,
88,android.inputmethodservice.KeyboardView,swipeDown,,True,
89,android.inputmethodservice.KeyboardView,swipeRight,,True,
90,android.location.LocationManager,addGpsStatusListener,,True,
91,android.location.LocationManager,addNmeaListener,,True,
92,android.location.LocationManager,addProximityAlert,,True,
93,android.location.LocationManager,getBestProvider,,True,
94,android.location.LocationManager,getLastKnownLocation,,True,
95,android.location.LocationManager,getProvider,,True,
96,android.location.LocationManager,getProviders,,True,
97,android.location.LocationManager,isProviderEnabled,,True,
98,android.location.LocationManager,requestLocationUpdates,,True,
99,android.location.LocationManager,requestSingleUpdate,,True,
100,android.location.LocationManager,sendExtraCommand,,True,
101,android.location.LocationManager,setTestProviderEnabled,,True,
102,android.media.AudioRecord,AudioRecord,,False,Not Found in API 25
103,android.media.MediaRecorder,setAudioSource,,True,
104,android.media.MediaRecorder,setVideoSource,,True,
105,android.net.ConnectivityManager,startUsingNetworkFeature,,True,
106,android.net.NetworkInfo,getExtraInfo,,True,
107,android.net.NetworkInfo,isAvailable,,True,
108,android.net.Proxy,getDefaultHost,,True,
109,android.net.Proxy,getDefaultPort,,True,
110,android.net.sip.SipManager,close,,True,
111,android.net.sip.SipManager,createSipSession,,True,
112,android.net.sip.SipManager,getSessionFor,,True,
113,android.net.sip.SipManager,isOpened,,True,
114,android.net.sip.SipManager,isRegistered,,True,
115,android.net.sip.SipManager,makeAudioCall,,True,
116,android.net.sip.SipManager,open,,True,
117,android.net.sip.SipManager,register,,True,
118,android.net.sip.SipManager,setRegistrationListener,,True,
119,android.net.sip.SipManager,takeAudioCall,,True,
120,android.net.sip.SipManager,unregister,,True,
121,android.net.SSLCertificateSocketFactory,getHttpSocketFactory,,True,
122,android.net.wifi.WifiManager,disableNetwork,,True,
123,android.net.wifi.WifiManager,disconnect,,True,
124,android.net.wifi.WifiManager,enableNetwork,,True,
125,android.net.wifi.WifiManager,getConfiguredNetworks,,True,
126,android.net.wifi.WifiManager,isWifiEnabled,,True,
127,android.net.wifi.WifiManager,saveConfiguration,,True,
128,android.net.wifi.WifiManager,setWifiEnabled,,True,
129,android.net.wifi.WifiManager,updateNetwork,,True,
130,android.os.Bundle,getClassLoader,,True,
131,android.os.Environment,getDataDirectory,,True,
132,android.os.Environment,getDownloadCacheDirectory,,True,
133,android.os.Environment,getExternalStorageDirectory,,True,
134,android.os.Environment,getExternalStoragePublicDirectory,,True,
135,android.os.Environment,getRootDirectory,,True,
136,android.os.HandlerThread,isAlive,,True,
137,android.os.PowerManager,newWakeLock,,True,
138,android.os.storage.StorageManager,getPrimaryStorageVolume,,True,
139,android.os.storage.StorageManager,getStorageVolumes,,True,
140,android.provider.Browser,addSearchUrl,,True,
141,android.provider.Browser,clearHistory,,True,
142,android.provider.Browser,clearSearches,,True,
143,android.provider.Browser,deleteFromHistory,,True,
144,android.provider.Browser,deleteHistoryTimeFrame,,True,
145,android.provider.Browser,truncateHistory,,True,
146,android.provider.Browser,updateVisitedHistory,,True,
147,android.provider.CalendarContract,insert,,False,Not Found in API 25
148,android.provider.CalendarContract,query,,False,Not Found in API 25
149,android.provider.CallLog,getLastOutgoingCall,,False,Not Found in API 25
